counter,subID,task,Video,Track,Timestamp,errors_in_frame,time_to_prev_error,time_to_next_error,value1,error_type_value1,error_subtype_value1,value1b,value2,error_type_value2,error_subtype_value2,value2b,value3,error_type_value3,error_subtype_value3,value3b,value4,error_type_value4,error_subtype_value4,value4b,value5,error_type_value5,error_subtype_value5,value5b,HMD,offset,Timestamp_adjusted
0,P5,cereal,P5_cereal_2_merged_varjo.mp4,error frame,7.84,2, ,-4,31,2,8,2,6,1,2,2, , , , , , , , , , , , ,varjo,True,8.40319610458501
1,P5,cereal,P5_cereal_2_merged_varjo.mp4,error frame,11.84,1,4,-7.52,13,1,3,2, , , , , , , , , , , , , , , , ,varjo,True,12.403196104585
2,P5,cereal,P5_cereal_2_merged_varjo.mp4,error frame,19.36,2,7.52,-5.64,13,1,3,2,31,2,8,2, , , , , , , , , , , , ,varjo,True,19.923196104585
3,P5,cereal,P5_cereal_2_merged_varjo.mp4,error frame,25,2,5.64,-7.36,6,1,2,2,8,1,2,2, , , , , , , , , , , , ,varjo,True,25.563196104585
4,P5,cereal,P5_cereal_2_merged_varjo.mp4,error frame,32.36,1,7.36,-1.12,1,1,1,2, , , , , , , , , , , , , , , , ,varjo,True,32.923196104585
5,P5,cereal,P5_cereal_2_merged_varjo.mp4,error frame,33.48,1,1.12,-5.64,3,1,1,2, , , , , , , , , , , , , , , , ,varjo,True,34.043196104585
6,P5,cereal,P5_cereal_2_merged_varjo.mp4,error frame,39.12,1,5.64,-2.04,13,1,3,2, , , , , , , , , , , , , , , , ,varjo,True,39.683196104585
7,P5,cereal,P5_cereal_2_merged_varjo.mp4,error frame,41.16,1,2.04,-1.88,8,1,2,2, , , , , , , , , , , , , , , , ,varjo,True,41.723196104585
8,P5,cereal,P5_cereal_2_merged_varjo.mp4,error frame,43.04,1,1.88,-2.12,31,2,8,2, , , , , , , , , , , , , , , , ,varjo,True,43.603196104585
9,P5,cereal,P5_cereal_2_merged_varjo.mp4,error frame,45.16,1,2.12,-8.08000000000001,3,1,1,2, , , , , , , , , , , , , , , , ,varjo,True,45.723196104585
10,P5,cereal,P5_cereal_2_merged_varjo.mp4,error frame,53.24,1,8.08000000000001,-2.8,13,1,3,2, , , , , , , , , , , , , , , , ,varjo,True,53.803196104585
11,P5,cereal,P5_cereal_2_merged_varjo.mp4,error frame,56.04,1,2.8,-1,13,1,3,2, , , , , , , , , , , , , , , , ,varjo,True,56.603196104585
12,P5,cereal,P5_cereal_2_merged_varjo.mp4,error frame,57.04,1,1,-2.4,24,2,7,2, , , , , , , , , , , , , , , , ,varjo,True,57.603196104585
13,P5,cereal,P5_cereal_2_merged_varjo.mp4,error frame,59.44,2,2.4, ,31,2,8,2,6,1,2,2, , , , , , , , , , , , ,varjo,True,60.003196104585
14,P24,cereal,P24_cereal_2_merged_varjo.mp4,error frame,11.16,1, ,-11.68,23,2,7,2, , , , , , , , , , , , , , , , ,varjo,True,14.2221259912116
15,P24,cereal,P24_cereal_2_merged_varjo.mp4,error frame,22.84,2,11.68,-8.12,31,2,8,2,13,1,3,2, , , , , , , , , , , , ,varjo,True,25.9021259912116
16,P24,cereal,P24_cereal_2_merged_varjo.mp4,error frame,30.96,3,8.12,-3.64,6,1,2,2,13,1,3,2,21,2,6,2, , , , , , , , ,varjo,True,34.0221259912116
17,P24,cereal,P24_cereal_2_merged_varjo.mp4,error frame,34.6,3,3.64,-17.76,31,2,8,2,13,1,3,2,33,2,9,2, , , , , , , , ,varjo,True,37.6621259912116
18,P24,cereal,P24_cereal_2_merged_varjo.mp4,error frame,52.36,1,17.76,-5.88,26,2,7,2, , , , , , , , , , , , , , , , ,varjo,True,55.4221259912116
19,P24,cereal,P24_cereal_2_merged_varjo.mp4,error frame,58.24,1,5.88,-4.88,6,1,2,2, , , , , , , , , , , , , , , , ,varjo,True,61.3021259912116
20,P24,cereal,P24_cereal_2_merged_varjo.mp4,error frame,63.12,2,4.88,-3.04,31,2,8,2,21,2,6,2, , , , , , , , , , , , ,varjo,True,66.1821259912116
21,P24,cereal,P24_cereal_2_merged_varjo.mp4,error frame,66.16,2,3.04,-7.84,6,1,2,2,21,2,6,2, , , , , , , , , , , , ,varjo,True,69.2221259912116
22,P24,cereal,P24_cereal_2_merged_varjo.mp4,error frame,74,1,7.84,-12.48,3,1,1,2, , , , , , , , , , , , , , , , ,varjo,True,77.0621259912116
23,P24,cereal,P24_cereal_2_merged_varjo.mp4,error frame,86.48,1,12.48,-7.56,27,2,8,2, , , , , , , , , , , , , , , , ,varjo,True,89.5421259912116
24,P24,cereal,P24_cereal_2_merged_varjo.mp4,error frame,94.04,1,7.56,-29.72,3,1,1,2, , , , , , , , , , , , , , , , ,varjo,True,97.1021259912116
25,P24,cereal,P24_cereal_2_merged_varjo.mp4,error frame,123.76,2,29.72,-13.96,31,2,8,2,13,1,3,2, , , , , , , , , , , , ,varjo,True,126.822125991212
26,P24,cereal,P24_cereal_2_merged_varjo.mp4,error frame,137.72,2,13.96,-2.59999999999999,31,2,8,2,13,1,3,2, , , , , , , , , , , , ,varjo,True,140.782125991212
27,P24,cereal,P24_cereal_2_merged_varjo.mp4,error frame,140.32,1,2.59999999999999,-4.88,10,1,3,2, , , , , , , , , , , , , , , , ,varjo,True,143.382125991212
28,P24,cereal,P24_cereal_2_merged_varjo.mp4,error frame,145.2,1,4.88, ,31,2,8,2, , , , , , , , , , , , , , , , ,varjo,True,148.262125991212
29,P2,cereal,P2_cereal_2_merged_varjo.mp4,error frame,12.88,2, ,-1.96,6,1,2,2,27,2,8,2, , , , , , , , , , , , ,varjo,True,11.9726604551245
30,P2,cereal,P2_cereal_2_merged_varjo.mp4,error frame,14.84,2,1.96,-1.36,31,2,8,2,13,1,3,2, , , , , , , , , , , , ,varjo,True,13.9326604551245
31,P2,cereal,P2_cereal_2_merged_varjo.mp4,error frame,16.2,2,1.36,-4.68,31,2,8,2,13,1,3,2, , , , , , , , , , , , ,varjo,True,15.2926604551245
32,P2,cereal,P2_cereal_2_merged_varjo.mp4,error frame,20.88,3,4.68,-2.64,31,2,8,2,13,1,3,2,21,2,6,2, , , , , , , , ,varjo,True,19.9726604551245
33,P2,cereal,P2_cereal_2_merged_varjo.mp4,error frame,23.52,2,2.64,-1.24,27,2,8,2,7,1,2,2, , , , , , , , , , , , ,varjo,True,22.6126604551245
34,P2,cereal,P2_cereal_2_merged_varjo.mp4,error frame,24.76,2,1.24,-3.48,31,2,8,2,13,1,3,2, , , , , , , , , , , , ,varjo,True,23.8526604551245
35,P2,cereal,P2_cereal_2_merged_varjo.mp4,error frame,28.24,1,3.48,-12.4,23,2,7,2, , , , , , , , , , , , , , , , ,varjo,True,27.3326604551245
36,P2,cereal,P2_cereal_2_merged_varjo.mp4,error frame,40.64,3,12.4,-9.92,31,2,8,2,13,1,3,2,21,2,6,2, , , , , , , , ,varjo,True,39.7326604551245
37,P2,cereal,P2_cereal_2_merged_varjo.mp4,error frame,50.56,3,9.92,-2.76,31,2,8,2,13,1,3,2,21,2,6,2, , , , , , , , ,varjo,True,49.6526604551245
