,HMD,task,subID,type,lum_path,dur(s),min_lum_roc,min_lum_frame,min_lum_time(s),data_dur(s),diff(s)
0,varjo,cereal,P14,full,/data/AMPs/second-round/avg-lum-per-frame/P14_cereal_varjo_P14_cereal_2022-02-01_14-06-21-511.csv,172.73316635793918,-0.6217207168083692,206.0,6.866660028895305,172.75762792000003,-0.02446156206084993
2,varjo,cereal,P23,full,/data/AMPs/second-round/avg-lum-per-frame/P23_cereal_varjo_P23_cereal_2022-02-11_14-23-20-032.csv,188.03315156795347,-0.4597958729837526,201.0,6.699993523339594,188.056042929,-0.022891361046532666
4,varjo,cereal,P19,full,/data/AMPs/second-round/avg-lum-per-frame/P19_cereal_varjo_P19_cereal_2022-02-11_11-06-31-382.csv,137.43320048123954,-0.3760911721594142,174.0,5.7999943933387526,137.429681741,0.0035187402395422396
6,varjo,cereal,P2,full,/data/AMPs/second-round/avg-lum-per-frame/P2_cereal_varjo_P2_cereal_2022-02-04_14-38-42-103.csv,121.69988235678038,-0.389706121474662,193.0,6.433327114450456,121.715036051,-0.015153694219620206
8,varjo,cereal,P9,full,/data/AMPs/second-round/avg-lum-per-frame/P9_cereal_varjo_P9_cereal_2022-02-04_10-26-52-492.csv,123.89988023011576,-0.5350244700459454,210.0,6.999993233339874,123.907212562,-0.007332331884242649
10,varjo,cereal,P18,full,/data/AMPs/second-round/avg-lum-per-frame/P18_cereal_varjo_P18_cereal_2022-02-15_10-38-48-194.csv,137.06653416901696,-0.3786291271018767,329.0,10.966656065565802,137.082514153,-0.01597998398304412
12,varjo,cereal,P21,full,/data/AMPs/second-round/avg-lum-per-frame/P21_cereal_varjo_P21_cereal_2022-02-14_14-16-50-351.csv,173.59983218682888,-0.526452364465507,890.0,29.66663798891661,173.60762291100002,-0.0077907241711443476
14,varjo,cereal,P22,full,/data/AMPs/second-round/avg-lum-per-frame/P22_cereal_varjo_P22_cereal_2022-02-08_14-08-32-700.csv,190.2664827424,-0.5952120235866213,334.0,11.133322571121514,190.269806866,-0.003324123600009443
16,varjo,cereal,P5,full,/data/AMPs/second-round/avg-lum-per-frame/P5_cereal_varjo_P5_cereal_2022-02-08_10-22-45-519.csv,102.89990053009616,-0.2849899215842667,121.0,4.033329434448214,102.905424913,-0.005524382903843161
18,varjo,cereal,P16,full,/data/AMPs/second-round/avg-lum-per-frame/P16_cereal_varjo_P16_cereal_2022-02-02_10-48-46-081.csv,226.6997808568785,-0.3769859568094788,95.0,3.1666636055585147,226.695877509,0.0039033478784915587
20,varjo,cereal,P4,full,/data/AMPs/second-round/avg-lum-per-frame/P4_cereal_varjo_P4_cereal_2022-02-14_10-11-48-204.csv,159.8998454301494,-0.2409642137385593,186.0,6.19999400667246,159.912783715,-0.01293828485057702
22,varjo,cereal,P13,full,/data/AMPs/second-round/avg-lum-per-frame/P13_cereal_varjo_P13_cereal_2022-02-07_11-49-49-595.csv,203.63313648796805,-0.4508886256713669,92.0,3.066663702225088,203.636125704,-0.0029892160319491268
24,varjo,cereal,P25,full,/data/AMPs/second-round/avg-lum-per-frame/P25_cereal_varjo_P25_cereal_2022-02-09_11-13-19-240.csv,295.29971454360924,-0.658913087716867,147.0,4.899995263337912,295.295416134,0.0042984096092482105
26,varjo,cereal,P24,full,/data/AMPs/second-round/avg-lum-per-frame/P24_cereal_varjo_P24_cereal_2022-02-16_10-09-08-765.csv,152.4665192823647,-0.4767649599849192,228.0,7.599992653340434,152.486413642,-0.01989435963531605
28,varjo,cereal,P15,full,/data/AMPs/second-round/avg-lum-per-frame/P15_cereal_varjo_P15_cereal_2022-02-15_14-28-38-447.csv,126.89987733011856,-0.4933230548322866,99.0,3.2999968100030834,126.91065372,-0.010776389881442583
30,varjo,cereal,P3,full,/data/AMPs/second-round/avg-lum-per-frame/P3_cereal_varjo_P3_cereal_2022-02-10_10-38-06-418.csv,180.3331590112796,-0.2763398321861301,300.0,9.999990333342677,180.344114537,-0.010955525720390824
32,varjo,cereal,P6,full,/data/AMPs/second-round/avg-lum-per-frame/P6_cereal_varjo_P6_cereal_2022-02-10_15-06-06-750.csv,108.59989502010148,-0.4598446544276046,226.0,7.53332605111815,108.602130495,-0.0022354748985122797
