,HMD,task,subID,type,lum_path,dur(s),max_lum_roc,max_lum_frame,max_lum_time(s),min_lum_roc,min_lum_frame,min_lum_time(s)
0,PI,sandwich,P23,full,/data/AMPs/first-round/avg-lum-per-frame/P23_sandwich_pi_PI world v1 ps1.csv,1152.4322193155213,0.471009348763485,583.0,19.433314547795938,-0.2517875041100708,1042.0,34.73329975781023
1,PI,sandwich,P23,merged,/data/AMPs/first-round/avg-lum-per-frame/P23_sandwich_pi_Subject23_sandwich_merged_for_tagging.csv,1145.0105321883227,0.2302590477691009,197.0,6.5732333267601,-0.20195011711918687,830.0,27.694333305639
2,PI,sandwich,P13,full,/data/AMPs/first-round/avg-lum-per-frame/P13_sandwich_pi_PI world v1 ps1.csv,548.5661363860681,0.4819263978902657,789.0,26.29997457669124,-0.3359658937369737,790.0,26.333307877802383
3,PI,sandwich,P13,merged,/data/AMPs/first-round/avg-lum-per-frame/P13_sandwich_pi_Subject13_sandwich_merged_for_tagging.csv,523.9233994760766,0.30812240372811583,62.0,2.0687333312646,-0.3201893983077868,95.0,3.1698333301634998
4,PI,sandwich,P6,full,/data/AMPs/first-round/avg-lum-per-frame/P6_sandwich_pi_PI world v1 ps1.csv,712.8326442617772,0.9004136583999323,1807.0,60.23327510783406,-0.8011272688468292,1808.0,60.2666084089452
5,PI,sandwich,P6,merged,/data/AMPs/first-round/avg-lum-per-frame/P6_sandwich_pi_Subject6_sandwich_merged_for_tagging.csv,656.7560993432438,0.558045916108781,23.0,0.7674333325659,-0.6031235499037904,99.0,3.3032999966967
6,PI,sandwich,P1,full,/data/AMPs/first-round/avg-lum-per-frame/P1_sandwich_pi_PI world v1 ps1.csv,1108.998927967703,0.7075459980114183,423.0,14.099986370013175,-0.5539992579102505,451.0,15.033318801125159
7,PI,sandwich,P1,merged,/data/AMPs/first-round/avg-lum-per-frame/P1_sandwich_pi_Subject1_sandwich_merged_for_tagging.csv,563.4295327699037,0.02746547706300584,6633.0,221.3210997786789,-0.03481913856134289,6616.0,220.7538664459128
8,PI,sandwich,P14,full,/data/AMPs/first-round/avg-lum-per-frame/P14_sandwich_pi_PI world v1 ps1.csv,538.9328123649481,0.5800728937701554,1425.0,47.499954083377716,-0.43748102309532877,1214.0,40.4666275489267
9,PI,sandwich,P14,merged,/data/AMPs/first-round/avg-lum-per-frame/P14_sandwich_pi_Subject14_sandwich_merged_for_tagging.csv,498.53136616813526,0.1765173185982134,218.0,7.2739333260593995,-0.26117311890660366,7.0,0.23356666643309998
10,PI,sandwich,P24,full,/data/AMPs/first-round/avg-lum-per-frame/P24_sandwich_pi_PI world v1 ps1.csv,552.3327994116272,0.33015509326161907,754.0,25.13330903780126,-0.36217410778242753,702.0,23.399977380021866
11,PI,sandwich,P24,merged,/data/AMPs/first-round/avg-lum-per-frame/P24_sandwich_pi_Subject24_sandwich_merged_for_tagging.csv,529.862666136804,0.23678007587276406,57.0,1.9018999980981,-0.305012878345302,5.0,0.16683333316649998
12,PI,sandwich,P18,full,/data/AMPs/first-round/avg-lum-per-frame/P18_sandwich_pi_PI world v1 ps1.csv,316.4663607491846,0.5426633675940729,965.0,32.166635572252275,-0.4483219375988876,4250.0,141.6665297223546
13,PI,sandwich,P18,merged,/data/AMPs/first-round/avg-lum-per-frame/P18_sandwich_pi_Subject18_sandwich_merged_for_tagging.csv,287.286999712713,0.3076347135718891,303.0,10.1100999898899,-0.3356995847444997,145.0,4.8381666618285
14,PI,sandwich,P5,full,/data/AMPs/first-round/avg-lum-per-frame/P5_sandwich_pi_PI world v1 ps1.csv,506.2661772760286,1.093662108404573,1267.0,42.23329250781724,-0.678130313765489,1141.0,38.033296567813316
15,PI,sandwich,P5,merged,/data/AMPs/first-round/avg-lum-per-frame/P5_sandwich_pi_Subject5_sandwich_merged_for_tagging.csv,469.9027661967639,1.1222088680419846,129.0,4.3042999956956995,-0.532224400997046,128.0,4.2709333290624
16,PI,sandwich,P21,full,/data/AMPs/first-round/avg-lum-per-frame/P21_sandwich_pi_PI world v1 ps1.csv,569.1661164727541,0.5003558861892325,1119.0,37.29996394336818,-0.45802038528912115,1067.0,35.56663228558879
17,PI,sandwich,P21,merged,/data/AMPs/first-round/avg-lum-per-frame/P21_sandwich_pi_Subject21_sandwich_merged_for_tagging.csv,534.9677661316989,0.3518202765158698,63.0,2.1020999978979,-0.4147596133816479,12.0,0.4003999995996
18,PI,sandwich,P2,full,/data/AMPs/first-round/avg-lum-per-frame/P2_sandwich_pi_PI world v1 ps1.csv,407.8329390948255,179994.15397135552,1.0,0.03333330111114226,-0.6287974604664068,507.0,16.899983663349126
19,PI,sandwich,P2,merged,/data/AMPs/first-round/avg-lum-per-frame/P2_sandwich_pi_Subject2_sandwich_merged_for_tagging.csv,392.8924996071075,0.1863750223088254,119.0,3.9706333293626996,-0.2740599986187392,63.0,2.1020999978979
20,PI,sandwich,P4,full,/data/AMPs/first-round/avg-lum-per-frame/P4_sandwich_pi_PI world v1 ps1.csv,547.7994704605119,121120.45572916759,1.0,0.03333330111114226,-0.5784883153948366,745.0,24.833309327800983
21,PI,sandwich,P4,merged,/data/AMPs/first-round/avg-lum-per-frame/P4_sandwich_pi_Subject4_sandwich_merged_for_tagging.csv,528.3277994716722,0.4914150891111577,162.0,5.4053999945946,-0.43436031581953816,76.0,2.5358666641308
22,PI,sandwich,P10,full,/data/AMPs/first-round/avg-lum-per-frame/P10_sandwich_pi_PI world v1 ps1.csv,478.4328708482248,0.8399149453812322,1136.0,37.866630062257606,-0.6517107290680828,1171.0,39.033295601147586
23,PI,sandwich,P10,merged,/data/AMPs/first-round/avg-lum-per-frame/P10_sandwich_pi_Subject10_sandwich_merged_for_tagging.csv,441.90813289142517,0.49474183108663516,7.0,0.23356666643309998,-0.5002101457967483,42.0,1.4013999985985999
24,PI,sandwich,P15,full,/data/AMPs/first-round/avg-lum-per-frame/P15_sandwich_pi_PI world v1 ps1.csv,603.3994167138972,92974.96126302154,1.0,0.03333330111114226,-0.5743082965943342,743.0,24.7666427255787
25,PI,sandwich,P15,merged,/data/AMPs/first-round/avg-lum-per-frame/P15_sandwich_pi_Subject15_sandwich_merged_for_tagging.csv,586.1855994138144,0.21471798611839543,38.0,1.2679333320654,-0.4402432333867552,37.0,1.2345666654321
26,PI,sandwich,P9,full,/data/AMPs/first-round/avg-lum-per-frame/P9_sandwich_pi_PI world v1 ps1.csv,374.96630419923923,0.8374530810393597,1470.0,48.99995263337912,-0.550512453628115,1324.0,44.13329067115235
27,PI,sandwich,P9,merged,/data/AMPs/first-round/avg-lum-per-frame/P9_sandwich_pi_Subject9_sandwich_merged_for_tagging.csv,333.83349966616646,0.6600196350088363,9.0,0.3002999996997,-0.6106232539963174,7.0,0.23356666643309998
28,PI,sandwich,P12,full,/data/AMPs/first-round/avg-lum-per-frame/P12_sandwich_pi_PI world v1 ps1.csv,755.2659365762613,0.48056454374958424,1037.0,34.56663325225452,-0.4371929639723571,1069.0,35.63329888781107
29,PI,sandwich,P12,merged,/data/AMPs/first-round/avg-lum-per-frame/P12_sandwich_pi_Subject12_sandwich_merged_for_tagging.csv,721.9211992780788,0.32940827724934163,221.0,7.374033325959299,-0.34418338381262026,2.0,0.0667333332666
30,PI,sandwich,P22,full,/data/AMPs/first-round/avg-lum-per-frame/P22_sandwich_pi_PI world v1 ps1.csv,1070.7322982921116,0.4995824467597372,822.0,27.399973513358937,-0.5295099912699532,752.0,25.066642435578977
31,PI,sandwich,P22,merged,/data/AMPs/first-round/avg-lum-per-frame/P22_sandwich_pi_Subject22_Sandwich_merged_for_tagging.csv,1054.1530989458468,0.17396824139821554,77.0,2.5692333307640998,-0.18852884340815013,8.0,0.2669333330664
32,PI,sandwich,P11,full,/data/AMPs/first-round/avg-lum-per-frame/P11_sandwich_pi_PI world v1 ps1.csv,496.7995197604642,98993.3235677091,1.0,0.03333330111114226,-0.5140495452950167,1403.0,46.76662145893259
33,PI,sandwich,P11,merged,/data/AMPs/first-round/avg-lum-per-frame/P11_sandwich_pi_Subject11_sandwich_merged_for_tagging.csv,453.6531995463468,0.3040789761664351,259.0,8.6419666580247,-0.4014993510489907,112.0,3.7370666629295997
34,PI,sandwich,P19,full,/data/AMPs/first-round/avg-lum-per-frame/P19_sandwich_pi_PI world v1 ps1.csv,500.16618317268956,0.36555303073608925,1399.0,46.633288254488015,-0.2792955660764589,7275.0,242.49976558355993
35,PI,sandwich,P19,merged,/data/AMPs/first-round/avg-lum-per-frame/P19_sandwich_pi_Subject19_sandwich_merged_for_tagging.csv,451.48436621518226,0.15453878324721626,63.0,2.1020999978979,-0.18217737777209253,11.0,0.3670333329663
36,PI,sandwich,P8,full,/data/AMPs/first-round/avg-lum-per-frame/P8_sandwich_pi_PI world v1 ps1.csv,319.8663574625211,0.21906833702530792,2194.0,73.13326263784612,-0.1415215447769591,3602.0,120.06655060233442
37,PI,sandwich,P8,merged,/data/AMPs/first-round/avg-lum-per-frame/P8_sandwich_pi_Subject8_sandwich_merged_for_tagging.csv,532.3651661343015,0.3961243049349763,205.0,6.8401666598265,-0.4414024993868795,59.0,1.9686333313647
38,PI,cereal,P18,full,/data/AMPs/first-round/avg-lum-per-frame/P18_cereal_pi_PI world v1 ps1.csv,147.09985780347077,0.4421012485723057,773.0,25.766641758912964,-0.4733407555331338,769.0,25.633308554468396
39,PI,cereal,P18,merged,/data/AMPs/first-round/avg-lum-per-frame/P18_cereal_pi_Subject18_cereal_merged_for_tagging.csv,119.95316654671349,0.2758925839174158,43.0,1.4347666652319,-0.497264796706813,61.0,2.0353666646313
40,PI,cereal,P8,full,/data/AMPs/first-round/avg-lum-per-frame/P8_cereal_pi_PI world v1 ps1.csv,188.5331510846206,0.44785015932230476,1204.0,40.13329453781528,-0.4129530133760664,1199.0,39.966628032259564
41,PI,cereal,P8,merged,/data/AMPs/first-round/avg-lum-per-frame/P8_cereal_pi_Subject8_cereal_merged_for_tagging.csv,139.472666527194,0.36824059687249044,164.0,5.4721333278612,-0.2752492254494795,165.0,5.5054999944945
42,PI,cereal,P6,full,/data/AMPs/first-round/avg-lum-per-frame/P6_cereal_pi_PI world v1 ps1.csv,292.76638365916244,1.2210815319509614,1613.0,53.76661469227246,-0.7479800815082154,1614.0,53.799947993383604
43,PI,cereal,P6,merged,/data/AMPs/first-round/avg-lum-per-frame/P6_cereal_pi_Subject6_cereal_merged_for_tagging.csv,241.6080330917253,0.4562017572593129,50.0,1.668333331665,-0.6141598844295227,79.0,2.6359666640307
44,PI,cereal,P5,full,/data/AMPs/first-round/avg-lum-per-frame/P5_cereal_pi_PI world v1 ps1.csv,189.2998170101769,0.7189867659236902,1896.0,63.19993890672572,-0.6486754093432656,1897.0,63.23327220783686
45,PI,cereal,P5,merged,/data/AMPs/first-round/avg-lum-per-frame/P5_cereal_pi_Subject5_cereal_merged_for_tagging.csv,131.2644665354022,0.5577161504431749,50.0,1.668333331665,-0.47320016138565124,48.0,1.6015999983984
46,PI,cereal,P25,full,/data/AMPs/first-round/avg-lum-per-frame/P25_cereal_pi_PI world v1 ps1.csv,258.06641720246336,0.34188316455895085,857.0,28.566639052248913,-0.2529188836425399,852.0,28.399972546693203
47,PI,cereal,P25,merged,/data/AMPs/first-round/avg-lum-per-frame/P25_cereal_pi_Subject25_cereal_merged_for_tagging.csv,214.04716645261948,0.20460651065524038,72.0,2.4023999975976,-0.2529253768707236,20.0,0.6673333326659999
48,PI,cereal,P3,full,/data/AMPs/first-round/avg-lum-per-frame/P3_cereal_pi_PI world v1 ps1.csv,214.83312566131184,1.0020852550550132,727.0,24.23330990780042,-0.7483833319296507,502.0,16.73331715779341
49,PI,cereal,P3,merged,/data/AMPs/first-round/avg-lum-per-frame/P3_cereal_pi_Subject3_cereal_merged_for_tagging.csv,124.5577665421089,0.39022298538557565,56.0,1.8685333314647998,-0.5372317490187865,1.0,0.0333666666333
50,PI,cereal,P2,full,/data/AMPs/first-round/avg-lum-per-frame/P2_cereal_pi_PI world v1 ps1.csv,157.9998472668143,0.573431380576862,429.0,14.29998617668003,-0.49726332953186303,387.0,12.899987530012053
51,PI,cereal,P2,merged,/data/AMPs/first-round/avg-lum-per-frame/P2_cereal_pi_Subject2_cereal_merged_for_tagging.csv,129.3959332039374,0.22378535102048258,220.0,7.340666659326,-0.29390882523714335,88.0,2.9362666637304
52,PI,cereal,P13,full,/data/AMPs/first-round/avg-lum-per-frame/P13_cereal_pi_PI world v1 ps1.csv,189.4664835157326,0.6350982225133845,514.0,17.13331677112712,-0.36426057559778335,550.0,18.333315611128242
