,HMD,task,subID,type,path,max_lum_roc,max_lum_frame,max_lum_time(s),min_lum_roc,min_lum_frame,min_lum_time(s)
0,PI,sandwich,P23,full,/data/AMPs/first-round/avg-lum-per-frame/P23_sandwich_pi_PI world v1 ps1.csv,0.8656716417910448,583.0,19.433314547795938,-0.31707317073170727,532.0,17.73331619112768
1,PI,sandwich,P23,merged,/data/AMPs/first-round/avg-lum-per-frame/P23_sandwich_pi_Subject23_sandwich_merged_for_tagging.csv,0.23684210526315796,197.0,6.5732333267601,-1.0,34219.0,1141.7739655248927
2,PI,sandwich,P13,full,/data/AMPs/first-round/avg-lum-per-frame/P13_sandwich_pi_PI world v1 ps1.csv,0.8269230769230769,789.0,26.29997457669124,-1.0,16457.0,548.5661363860681
3,PI,sandwich,P13,merged,/data/AMPs/first-round/avg-lum-per-frame/P13_sandwich_pi_Subject13_sandwich_merged_for_tagging.csv,0.4055944055944056,62.0,2.0687333312646,-0.40664961636828645,95.0,3.1698333301634998
4,PI,sandwich,P6,full,/data/AMPs/first-round/avg-lum-per-frame/P6_sandwich_pi_PI world v1 ps1.csv,1.1052631578947367,1813.0,60.43327491450091,-0.8513513513513513,1808.0,60.2666084089452
5,PI,sandwich,P6,merged,/data/AMPs/first-round/avg-lum-per-frame/P6_sandwich_pi_Subject6_sandwich_merged_for_tagging.csv,1.022727272727273,23.0,0.7674333325659,-1.0,19165.0,639.4721660271945
6,PI,sandwich,P1,full,/data/AMPs/first-round/avg-lum-per-frame/P1_sandwich_pi_PI world v1 ps1.csv,1.0363636363636362,6197.0,206.56646698574858,-0.7563025210084033,381.0,12.6999877233452
7,PI,sandwich,P1,merged,/data/AMPs/first-round/avg-lum-per-frame/P1_sandwich_pi_Subject1_sandwich_merged_for_tagging.csv,0.03896103896103886,10144.0,338.47146632819516,-0.038812785388127824,16735.0,558.3911661082755
8,PI,sandwich,P14,full,/data/AMPs/first-round/avg-lum-per-frame/P14_sandwich_pi_PI world v1 ps1.csv,0.5323741007194245,1425.0,47.499954083377716,-1.0,16168.0,538.9328123649481
9,PI,sandwich,P14,merged,/data/AMPs/first-round/avg-lum-per-frame/P14_sandwich_pi_Subject14_sandwich_merged_for_tagging.csv,0.23908523908523915,218.0,7.2739333260593995,-1.0,14885.0,496.6628328366705
10,PI,sandwich,P24,full,/data/AMPs/first-round/avg-lum-per-frame/P24_sandwich_pi_PI world v1 ps1.csv,0.42105263157894735,707.0,23.566643885577577,-1.0,16570.0,552.3327994116272
11,PI,sandwich,P24,merged,/data/AMPs/first-round/avg-lum-per-frame/P24_sandwich_pi_Subject24_sandwich_merged_for_tagging.csv,0.2931034482758621,57.0,1.9018999980981,-0.3375,5.0,0.16683333316649998
12,PI,sandwich,P18,full,/data/AMPs/first-round/avg-lum-per-frame/P18_sandwich_pi_PI world v1 ps1.csv,1.0416666666666665,4255.0,141.8331962279103,-0.5272727272727273,4250.0,141.6665297223546
13,PI,sandwich,P18,merged,/data/AMPs/first-round/avg-lum-per-frame/P18_sandwich_pi_Subject18_sandwich_merged_for_tagging.csv,0.34172661870503607,147.0,4.9048999950951,-1.0,8511.0,283.9836997160163
14,PI,sandwich,P5,full,/data/AMPs/first-round/avg-lum-per-frame/P5_sandwich_pi_PI world v1 ps1.csv,1.954954954954955,1267.0,42.23329250781724,-0.7103658536585367,1268.0,42.26662580892838
15,PI,sandwich,P5,merged,/data/AMPs/first-round/avg-lum-per-frame/P5_sandwich_pi_Subject5_sandwich_merged_for_tagging.csv,1.5875,129.0,4.3042999956956995,-1.0,12772.0,426.15906624050757
16,PI,sandwich,P21,full,/data/AMPs/first-round/avg-lum-per-frame/P21_sandwich_pi_PI world v1 ps1.csv,0.9128205128205129,1119.0,37.29996394336818,-0.5703703703703704,1067.0,35.56663228558879
17,PI,sandwich,P21,merged,/data/AMPs/first-round/avg-lum-per-frame/P21_sandwich_pi_Subject21_sandwich_merged_for_tagging.csv,0.5412541254125414,63.0,2.1020999978979,-1.0,15954.0,532.3317994676681
18,PI,sandwich,P2,full,/data/AMPs/first-round/avg-lum-per-frame/P2_sandwich_pi_PI world v1 ps1.csv,inf,1.0,0.03333330111114226,-0.6006191950464397,604.0,20.133313871129925
19,PI,sandwich,P2,merged,/data/AMPs/first-round/avg-lum-per-frame/P2_sandwich_pi_Subject2_sandwich_merged_for_tagging.csv,0.26555023923444976,293.0,9.7764333235569,-1.0,11369.0,379.34563295398766
20,PI,sandwich,P4,full,/data/AMPs/first-round/avg-lum-per-frame/P4_sandwich_pi_PI world v1 ps1.csv,inf,1.0,0.03333330111114226,-0.6640316205533596,745.0,24.833309327800983
21,PI,sandwich,P4,merged,/data/AMPs/first-round/avg-lum-per-frame/P4_sandwich_pi_Subject4_sandwich_merged_for_tagging.csv,0.5976331360946745,162.0,5.4053999945946,-1.0,15540.0,518.517999481482
22,PI,sandwich,P10,full,/data/AMPs/first-round/avg-lum-per-frame/P10_sandwich_pi_PI world v1 ps1.csv,1.0122448979591838,1136.0,37.866630062257606,-0.7536945812807881,1171.0,39.033295601147586
23,PI,sandwich,P10,merged,/data/AMPs/first-round/avg-lum-per-frame/P10_sandwich_pi_Subject10_sandwich_merged_for_tagging.csv,0.5984654731457801,7.0,0.23356666643309998,-0.5725,42.0,1.4013999985985999
24,PI,sandwich,P15,full,/data/AMPs/first-round/avg-lum-per-frame/P15_sandwich_pi_PI world v1 ps1.csv,inf,1.0,0.03333330111114226,-0.692,743.0,24.7666427255787
25,PI,sandwich,P15,merged,/data/AMPs/first-round/avg-lum-per-frame/P15_sandwich_pi_Subject15_sandwich_merged_for_tagging.csv,0.3129102844638949,19.0,0.6339666660327,-1.0,17525.0,584.7508327485825
26,PI,sandwich,P9,full,/data/AMPs/first-round/avg-lum-per-frame/P9_sandwich_pi_PI world v1 ps1.csv,0.788888888888889,1470.0,48.99995263337912,-0.7127659574468085,1324.0,44.13329067115235
27,PI,sandwich,P9,merged,/data/AMPs/first-round/avg-lum-per-frame/P9_sandwich_pi_Subject9_sandwich_merged_for_tagging.csv,0.8296296296296297,9.0,0.3002999996997,-1.0,9948.0,331.9315996680684
28,PI,sandwich,P12,full,/data/AMPs/first-round/avg-lum-per-frame/P12_sandwich_pi_PI world v1 ps1.csv,0.48467966573816157,1037.0,34.56663325225452,-0.5319767441860466,992.0,33.06663470225312
29,PI,sandwich,P12,merged,/data/AMPs/first-round/avg-lum-per-frame/P12_sandwich_pi_Subject12_sandwich_merged_for_tagging.csv,0.43279569892473124,221.0,7.374033325959299,-1.0,21625.0,721.5541659451125
30,PI,sandwich,P22,full,/data/AMPs/first-round/avg-lum-per-frame/P22_sandwich_pi_PI world v1 ps1.csv,0.5103448275862068,757.0,25.233308941134688,-0.5510835913312693,752.0,25.066642435578977
31,PI,sandwich,P22,merged,/data/AMPs/first-round/avg-lum-per-frame/P22_sandwich_pi_Subject22_Sandwich_merged_for_tagging.csv,0.2922374429223744,77.0,2.5692333307640998,-0.23983739837398377,7.0,0.23356666643309998
32,PI,sandwich,P11,full,/data/AMPs/first-round/avg-lum-per-frame/P11_sandwich_pi_PI world v1 ps1.csv,inf,1.0,0.03333330111114226,-0.5622895622895623,1403.0,46.76662145893259
33,PI,sandwich,P11,merged,/data/AMPs/first-round/avg-lum-per-frame/P11_sandwich_pi_Subject11_sandwich_merged_for_tagging.csv,0.4453125,259.0,8.6419666580247,-1.0,13576.0,452.98586621368077
34,PI,sandwich,P19,full,/data/AMPs/first-round/avg-lum-per-frame/P19_sandwich_pi_PI world v1 ps1.csv,0.39403973509933765,1399.0,46.633288254488015,-0.25547445255474455,1347.0,44.89995659670862
35,PI,sandwich,P19,merged,/data/AMPs/first-round/avg-lum-per-frame/P19_sandwich_pi_Subject19_sandwich_merged_for_tagging.csv,0.23593073593073588,63.0,2.1020999978979,-0.19117647058823528,11.0,0.3670333329663
36,PI,sandwich,P8,full,/data/AMPs/first-round/avg-lum-per-frame/P8_sandwich_pi_PI world v1 ps1.csv,0.36708860759493667,2194.0,73.13326263784612,-0.2952029520295203,2935.0,97.83323876120252
37,PI,sandwich,P8,merged,/data/AMPs/first-round/avg-lum-per-frame/P8_sandwich_pi_Subject8_sandwich_merged_for_tagging.csv,0.43317972350230405,205.0,6.8401666598265,-0.5256410256410257,59.0,1.9686333313647
38,PI,cereal,P18,full,/data/AMPs/first-round/avg-lum-per-frame/P18_cereal_pi_PI world v1 ps1.csv,0.6125,773.0,25.766641758912964,-0.5698924731182795,769.0,25.633308554468396
39,PI,cereal,P18,merged,/data/AMPs/first-round/avg-lum-per-frame/P18_cereal_pi_Subject18_cereal_merged_for_tagging.csv,0.36202531645569613,42.0,1.4013999985985999,-0.5742092457420924,61.0,2.0353666646313
40,PI,cereal,P8,full,/data/AMPs/first-round/avg-lum-per-frame/P8_cereal_pi_PI world v1 ps1.csv,0.4819277108433735,1135.0,37.833296761146464,-0.4575163398692811,4563.0,152.0998529701421
41,PI,cereal,P8,merged,/data/AMPs/first-round/avg-lum-per-frame/P8_cereal_pi_Subject8_cereal_merged_for_tagging.csv,0.4291187739463602,164.0,5.4721333278612,-0.3307692307692308,163.0,5.4387666612279
42,PI,cereal,P6,full,/data/AMPs/first-round/avg-lum-per-frame/P6_cereal_pi_PI world v1 ps1.csv,1.4193548387096775,1613.0,53.76661469227246,-0.8333333333333334,1614.0,53.799947993383604
43,PI,cereal,P6,merged,/data/AMPs/first-round/avg-lum-per-frame/P6_cereal_pi_Subject6_cereal_merged_for_tagging.csv,0.5269978401727862,50.0,1.668333331665,-1.0,6726.0,224.4241997755758
