,subID,task,Video,Track,Timestamp,Attribute,Value,Comment,HMD,offset,Timestamp_adjusted
0,P5,cereal,P5_cereal_2_merged_varjo.mp4,error frame,7.84,skill:score,"31:2, 6:2",,varjo,True,8.403196104585014
1,P5,cereal,P5_cereal_2_merged_varjo.mp4,error frame,11.84,skill:score,13:2,,varjo,True,12.403196104585014
2,P5,cereal,P5_cereal_2_merged_varjo.mp4,error frame,19.36,skill:score,"13:2, 31:2",,varjo,True,19.923196104585013
3,P5,cereal,P5_cereal_2_merged_varjo.mp4,error frame,25.0,skill:score,"6:2, 8: 2",,varjo,True,25.563196104585014
4,P5,cereal,P5_cereal_2_merged_varjo.mp4,error frame,32.36,skill:score,1:2,,varjo,True,32.92319610458501
5,P5,cereal,P5_cereal_2_merged_varjo.mp4,error frame,33.48,skill:score,3:2,,varjo,True,34.04319610458501
6,P5,cereal,P5_cereal_2_merged_varjo.mp4,error frame,39.12,skill:score,13:2,,varjo,True,39.68319610458501
7,P5,cereal,P5_cereal_2_merged_varjo.mp4,error frame,41.16,skill:score,8:2,,varjo,True,41.72319610458501
8,P5,cereal,P5_cereal_2_merged_varjo.mp4,error frame,43.04,skill:score,31:2,,varjo,True,43.60319610458501
9,P5,cereal,P5_cereal_2_merged_varjo.mp4,error frame,45.16,skill:score,3:2,,varjo,True,45.72319610458501
10,P5,cereal,P5_cereal_2_merged_varjo.mp4,error frame,53.24,skill:score,13:2,,varjo,True,53.80319610458501
11,P5,cereal,P5_cereal_2_merged_varjo.mp4,error frame,56.04,skill:score,13:2,,varjo,True,56.60319610458501
12,P5,cereal,P5_cereal_2_merged_varjo.mp4,error frame,57.04,skill:score,24:2,,varjo,True,57.60319610458501
13,P5,cereal,P5_cereal_2_merged_varjo.mp4,error frame,59.44,skill:score,"31:2, 6:2",,varjo,True,60.00319610458501
14,P24,cereal,P24_cereal_2_merged_varjo.mp4,error frame,11.16,skill:score,23:2,,varjo,True,14.222125991211634
15,P24,cereal,P24_cereal_2_merged_varjo.mp4,error frame,22.84,skill:score,"31:2, 13:2",,varjo,True,25.902125991211634
16,P24,cereal,P24_cereal_2_merged_varjo.mp4,error frame,30.96,skill:score,"6:2, 13:2, 21:2",,varjo,True,34.02212599121164
17,P24,cereal,P24_cereal_2_merged_varjo.mp4,error frame,34.6,skill:score,"31:2, 13:2, 33:2",,varjo,True,37.66212599121164
18,P24,cereal,P24_cereal_2_merged_varjo.mp4,error frame,52.36,skill:score,26:2,,varjo,True,55.42212599121163
19,P24,cereal,P24_cereal_2_merged_varjo.mp4,error frame,58.24,skill:score,6:2,,varjo,True,61.30212599121164
20,P24,cereal,P24_cereal_2_merged_varjo.mp4,error frame,63.12,skill:score,"31:2, 21:2",,varjo,True,66.18212599121163
21,P24,cereal,P24_cereal_2_merged_varjo.mp4,error frame,66.16,skill:score,"6:2, 21:2",,varjo,True,69.22212599121163
