subID,task,Video,Track,Timestamp,Attribute,Value,Comment
P12,cereal,Subject12_cereal_merged_for_tagging.mp4,error frame,15.16,skill:score,6:2,
P12,cereal,Subject12_cereal_merged_for_tagging.mp4,error frame,18.84,skill:score,23:2,
P12,cereal,Subject12_cereal_merged_for_tagging.mp4,error frame,20.92,skill:score,6:2,
P12,cereal,Subject12_cereal_merged_for_tagging.mp4,error frame,25.44,skill:score,16:2,
P12,cereal,Subject12_cereal_merged_for_tagging.mp4,error frame,27.04,skill:score,24:2,
P12,cereal,Subject12_cereal_merged_for_tagging.mp4,error frame,39.76,skill:score,16:2,
P12,cereal,Subject12_cereal_merged_for_tagging.mp4,error frame,44.16,skill:score,23:2,
P12,cereal,Subject12_cereal_merged_for_tagging.mp4,error frame,48.56,skill:score,"31:2, 7:2, 13:2",
P12,cereal,Subject12_cereal_merged_for_tagging.mp4,error frame,52.32,skill:score,"13:2, 32:2",
P12,cereal,Subject12_cereal_merged_for_tagging.mp4,error frame,57.96,skill:score,27:2,
P12,cereal,Subject12_cereal_merged_for_tagging.mp4,error frame,61.44,skill:score,27:2,
P12,cereal,Subject12_cereal_merged_for_tagging.mp4,error frame,85.72,skill:score,"13:2, 16:2",
P12,cereal,Subject12_cereal_merged_for_tagging.mp4,error frame,92.8,skill:score,23:2,
P12,cereal,Subject12_cereal_merged_for_tagging.mp4,error frame,94.08,skill:score,32:2,
P12,cereal,Subject12_cereal_merged_for_tagging.mp4,error frame,98.16,skill:score,24:2,
P12,cereal,Subject12_cereal_merged_for_tagging.mp4,error frame,100,skill:score,"13:2, 16:2",
P12,cereal,Subject12_cereal_merged_for_tagging.mp4,error frame,109.8,skill:score,"13:2, 16:2",
P12,cereal,Subject12_cereal_merged_for_tagging.mp4,error frame,111.76,skill:score,26:2,
P12,cereal,Subject12_cereal_merged_for_tagging.mp4,error frame,114.32,skill:score,24:2,
P12,cereal,Subject12_cereal_merged_for_tagging.mp4,error frame,116.68,skill:score,"26:2, 13:2, 16:2",
P12,cereal,Subject12_cereal_merged_for_tagging.mp4,error frame,125.64,skill:score,"6:2, 8:2",
P12,cereal,Subject12_cereal_merged_for_tagging.mp4,error frame,146.04,skill:score,27:2,
P12,cereal,Subject12_cereal_merged_for_tagging.mp4,error frame,148.12,skill:score,"6:2, 13:2",
P12,cereal,Subject12_cereal_merged_for_tagging.mp4,error frame,151,skill:score,"5:3, 16:2",
P12,cereal,Subject12_cereal_merged_for_tagging.mp4,error frame,160.28,skill:score,29:2,
P12,cereal,Subject12_cereal_merged_for_tagging.mp4,error frame,168.4,skill:score,3:2,
P12,cereal,Subject12_cereal_merged_for_tagging.mp4,error frame,205.68,skill:score,"7:2, 8:2, 13:2, 21:2",
P12,cereal,Subject12_cereal_merged_for_tagging.mp4,error frame,211.8,skill:score,"26:2, 16:2",
P12,cereal,Subject12_cereal_merged_for_tagging.mp4,error frame,214.72,skill:score,"8:2, 14:2",
P12,cereal,Subject12_cereal_merged_for_tagging.mp4,error frame,220.6,skill:score,"8:2, 13:2, 21:2",
P12,cereal,Subject12_cereal_merged_for_tagging.mp4,error frame,228.8,skill:score,26:2,
P12,cereal,Subject12_cereal_merged_for_tagging.mp4,error frame,233.72,skill:score,"7:2, 8:2, 13:2",
P12,cereal,Subject12_cereal_merged_for_tagging.mp4,error frame,242.68,skill:score,"7:2, 8:2, 16:2, 26:2",
P12,cereal,Subject12_cereal_merged_for_tagging.mp4,error frame,259.68,skill:score,24:2,
P12,cereal,Subject12_cereal_merged_for_tagging.mp4,error frame,262.04,skill:score,24:2,
P12,cereal,Subject12_cereal_merged_for_tagging.mp4,error frame,273.36,skill:score,"31:2, 13:2, 16:2",
P12,cereal,Subject12_cereal_merged_for_tagging.mp4,error frame,276.4,skill:score,"10:2, 16:2, 13:2,",
P11,sandwich,Subject11_sandwich_merged_for_tagging.mp4,error frame,12.2,skill:score,23:2,
P11,sandwich,Subject11_sandwich_merged_for_tagging.mp4,error frame,18.04,skill:score,6:2,
P11,sandwich,Subject11_sandwich_merged_for_tagging.mp4,error frame,19.84,skill:score,"31:2, 13:2",
P11,sandwich,Subject11_sandwich_merged_for_tagging.mp4,error frame,25.36,skill:score,27:3,
P11,sandwich,Subject11_sandwich_merged_for_tagging.mp4,error frame,27.88,skill:score,27:2,
P11,sandwich,Subject11_sandwich_merged_for_tagging.mp4,error frame,32.68,skill:score,27:2,
P11,sandwich,Subject11_sandwich_merged_for_tagging.mp4,error frame,34.16,skill:score,"27:2, 4:2",
P11,sandwich,Subject11_sandwich_merged_for_tagging.mp4,error frame,36.16,skill:score,"27:2, 35:2, 32:2",
P11,sandwich,Subject11_sandwich_merged_for_tagging.mp4,error frame,38.68,skill:score,"27:2, 35:2, 32:2, 5:2, 4:2",
P11,sandwich,Subject11_sandwich_merged_for_tagging.mp4,error frame,48.76,skill:score,3:2,
P11,sandwich,Subject11_sandwich_merged_for_tagging.mp4,error frame,56.24,skill:score,"7:2, 8:2",
P11,sandwich,Subject11_sandwich_merged_for_tagging.mp4,error frame,65.28,skill:score,"7:2, 8:2",
P11,sandwich,Subject11_sandwich_merged_for_tagging.mp4,error frame,72.12,skill:score,"27:2, 5:2",
P11,sandwich,Subject11_sandwich_merged_for_tagging.mp4,error frame,77.76,skill:score,"27:2, 5:2, 3:2",
P11,sandwich,Subject11_sandwich_merged_for_tagging.mp4,error frame,82.52,skill:score,32:2,
P11,sandwich,Subject11_sandwich_merged_for_tagging.mp4,error frame,84.72,skill:score,"27:2, 5:2, 2:2",
P11,sandwich,Subject11_sandwich_merged_for_tagging.mp4,error frame,86.88,skill:score,"27:2, 5:2, 2:2",
P11,sandwich,Subject11_sandwich_merged_for_tagging.mp4,error frame,87.8,skill:score,"27:2, 5:2, 2:2, 35:2",
P11,sandwich,Subject11_sandwich_merged_for_tagging.mp4,error frame,89.24,skill:score,"27:2, 5:2, 2:2, 35:2, 3:2",
P11,sandwich,Subject11_sandwich_merged_for_tagging.mp4,error frame,93.88,skill:score,11:2,
P11,sandwich,Subject11_sandwich_merged_for_tagging.mp4,error frame,94.96,skill:score,"31:3, 21:2",
P11,sandwich,Subject11_sandwich_merged_for_tagging.mp4,error frame,98.6,skill:score,"31:2, 13:2",
P11,sandwich,Subject11_sandwich_merged_for_tagging.mp4,error frame,98.64,skill:score,"29:2, 25:3",
P11,sandwich,Subject11_sandwich_merged_for_tagging.mp4,error frame,101.4,skill:score,29:2,
P11,sandwich,Subject11_sandwich_merged_for_tagging.mp4,error frame,103.72,skill:score,"23:2,",
P11,sandwich,Subject11_sandwich_merged_for_tagging.mp4,error frame,106.2,skill:score,10:2,
P11,sandwich,Subject11_sandwich_merged_for_tagging.mp4,error frame,107.2,skill:score,24:2,
P11,sandwich,Subject11_sandwich_merged_for_tagging.mp4,error frame,107.72,skill:score,"29:2, 3:2",
P11,sandwich,Subject11_sandwich_merged_for_tagging.mp4,error frame,110.6,skill:score,10:2,
P11,sandwich,Subject11_sandwich_merged_for_tagging.mp4,error frame,116.2,skill:score,23:2,
P11,sandwich,Subject11_sandwich_merged_for_tagging.mp4,error frame,123.96,skill:score,"26:2, 23:2",
P11,sandwich,Subject11_sandwich_merged_for_tagging.mp4,error frame,129.96,skill:score,"31:2, 21:2, 13:2",
P11,sandwich,Subject11_sandwich_merged_for_tagging.mp4,error frame,131.96,skill:score,"3:2, 5:2, 27:2",
P11,sandwich,Subject11_sandwich_merged_for_tagging.mp4,error frame,135.72,skill:score,"3:2, 2:2, 5:2",
P11,sandwich,Subject11_sandwich_merged_for_tagging.mp4,error frame,139,skill:score,21:2,
P11,sandwich,Subject11_sandwich_merged_for_tagging.mp4,error frame,141.84,skill:score,24:2,
P11,sandwich,Subject11_sandwich_merged_for_tagging.mp4,error frame,143.4,skill:score,"24:2, 27:2, 3:2, 5:2,",
P11,sandwich,Subject11_sandwich_merged_for_tagging.mp4,error frame,145.4,skill:score,"29:2, 27:2, 3:2",
P11,sandwich,Subject11_sandwich_merged_for_tagging.mp4,error frame,149.8,skill:score,23:2,
P11,sandwich,Subject11_sandwich_merged_for_tagging.mp4,error frame,151.28,skill:score,"23:2, 27:2",
P11,sandwich,Subject11_sandwich_merged_for_tagging.mp4,error frame,151.84,skill:score,"6:2, 27:2",
P11,sandwich,Subject11_sandwich_merged_for_tagging.mp4,error frame,153.6,skill:score,27:2,
P11,sandwich,Subject11_sandwich_merged_for_tagging.mp4,error frame,155.4,skill:score,"27:2, 3:2, 5:2",
P11,sandwich,Subject11_sandwich_merged_for_tagging.mp4,error frame,165.08,skill:score,"29:2, 28:2",
P11,sandwich,Subject11_sandwich_merged_for_tagging.mp4,error frame,166.08,skill:score,"29:2, 10:2",
P11,sandwich,Subject11_sandwich_merged_for_tagging.mp4,error frame,171.96,skill:score,"7:2, 8:2, 3:2",
P11,sandwich,Subject11_sandwich_merged_for_tagging.mp4,error frame,177.32,skill:score,"7:2, 8:2, 3:2",
P11,sandwich,Subject11_sandwich_merged_for_tagging.mp4,error frame,184.76,skill:score,"7:2, 8:2, 3:2",
P11,sandwich,Subject11_sandwich_merged_for_tagging.mp4,error frame,187.92,skill:score,"7:2, 8:2, 3:2, 21:2, 13:2",
P11,sandwich,Subject11_sandwich_merged_for_tagging.mp4,error frame,190.04,skill:score,"29:2, 7:2, 8:2",
P11,sandwich,Subject11_sandwich_merged_for_tagging.mp4,error frame,193.48,skill:score,"7:2, 8:2, 21:2, 26:2",
P11,sandwich,Subject11_sandwich_merged_for_tagging.mp4,error frame,205.92,skill:score,"29:2, 14:2",
P11,sandwich,Subject11_sandwich_merged_for_tagging.mp4,error frame,206.72,skill:score,29:2,
P11,sandwich,Subject11_sandwich_merged_for_tagging.mp4,error frame,209.84,skill:score,"7:2, 8:2",
P11,sandwich,Subject11_sandwich_merged_for_tagging.mp4,error frame,213.52,skill:score,"7:2, 8:2",
P11,sandwich,Subject11_sandwich_merged_for_tagging.mp4,error frame,215.48,skill:score,"23:2, 29:2",
