subID,task,Video,Track,Timestamp,Attribute,Value,Comment
P8,cereal,P8_cereal_2_merged_2022-02-03_11-04-58-394.mp4,error frame,17.48,skill:score,13:2,
P8,cereal,P8_cereal_2_merged_2022-02-03_11-04-58-394.mp4,error frame,21.96,skill:score,"6:2,3:2",
P8,cereal,P8_cereal_2_merged_2022-02-03_11-04-58-394.mp4,error frame,23.8,skill:score,3:2,
P8,cereal,P8_cereal_2_merged_2022-02-03_11-04-58-394.mp4,error frame,28,skill:score,"6:2,35:2",
P8,cereal,P8_cereal_2_merged_2022-02-03_11-04-58-394.mp4,error frame,29.36,skill:score,23:2,
P8,cereal,P8_cereal_2_merged_2022-02-03_11-04-58-394.mp4,error frame,29.76,skill:score,6:3,
P8,cereal,P8_cereal_2_merged_2022-02-03_11-04-58-394.mp4,error frame,35.96,skill:score,7:2,
P8,cereal,P8_cereal_2_merged_2022-02-03_11-04-58-394.mp4,error frame,38.52,skill:score,"29:2, 10:2",
P8,cereal,P8_cereal_2_merged_2022-02-03_11-04-58-394.mp4,error frame,40.2,skill:score,"24:2, 29:2",
P8,cereal,P8_cereal_2_merged_2022-02-03_11-04-58-394.mp4,error frame,41.92,skill:score,27:2,
P8,cereal,P8_cereal_2_merged_2022-02-03_11-04-58-394.mp4,error frame,43.44,skill:score,"27:2, 35:2",
P8,cereal,P8_cereal_2_merged_2022-02-03_11-04-58-394.mp4,error frame,44,skill:score,33:2,
P8,cereal,P8_cereal_2_merged_2022-02-03_11-04-58-394.mp4,error frame,47.48,skill:score,"21:2, 31:2",
P8,cereal,P8_cereal_2_merged_2022-02-03_11-04-58-394.mp4,error frame,51.4,skill:score,29:2,
P8,cereal,P8_cereal_2_merged_2022-02-03_11-04-58-394.mp4,error frame,52.2,skill:score,24:2,
P8,cereal,P8_cereal_2_merged_2022-02-03_11-04-58-394.mp4,error frame,52.72,skill:score,21:2,
P8,cereal,P8_cereal_2_merged_2022-02-03_11-04-58-394.mp4,error frame,54.8,skill:score,"29:2, 13:3",
P8,cereal,P8_cereal_2_merged_2022-02-03_11-04-58-394.mp4,error frame,58.4,skill:score,3:2,
P8,cereal,P8_cereal_2_merged_2022-02-03_11-04-58-394.mp4,error frame,64.76,skill:score,31:2,
P8,cereal,P8_cereal_2_merged_2022-02-03_11-04-58-394.mp4,error frame,65.84,skill:score,23:2,
P8,cereal,P8_cereal_2_merged_2022-02-03_11-04-58-394.mp4,error frame,66.72,skill:score,29:2,
P8,cereal,P8_cereal_2_merged_2022-02-03_11-04-58-394.mp4,error frame,68.64,skill:score,"6:2,8:2, 21:2",
P8,cereal,P8_cereal_2_merged_2022-02-03_11-04-58-394.mp4,error frame,73.6,skill:score,24:2,
P8,cereal,P8_cereal_2_merged_2022-02-03_11-04-58-394.mp4,error frame,74.84,skill:score,3:2,
P8,cereal,P8_cereal_2_merged_2022-02-03_11-04-58-394.mp4,error frame,79.28,skill:score,23:2,
P8,cereal,P8_cereal_2_merged_2022-02-03_11-04-58-394.mp4,error frame,85,skill:score,3:2,
P8,cereal,P8_cereal_2_merged_2022-02-03_11-04-58-394.mp4,error frame,86.28,skill:score,"7:2,21:2",
P8,cereal,P8_cereal_2_merged_2022-02-03_11-04-58-394.mp4,error frame,89.36,skill:score,23:2,
P8,cereal,P8_cereal_2_merged_2022-02-03_11-04-58-394.mp4,error frame,114.24,skill:score,6:2,
P8,cereal,P8_cereal_2_merged_2022-02-03_11-04-58-394.mp4,error frame,124.24,skill:score,"6:2, 13:2",
P8,cereal,P8_cereal_2_merged_2022-02-03_11-04-58-394.mp4,error frame,125.52,skill:score,"29:2, 24:2",
P8,cereal,P8_cereal_2_merged_2022-02-03_11-04-58-394.mp4,error frame,136.2,skill:score,7:2,
P8,cereal,P8_cereal_2_merged_2022-02-03_11-04-58-394.mp4,error frame,136.72,skill:score,3:2,
P8,cereal,P8_cereal_2_merged_2022-02-03_11-04-58-394.mp4,error frame,137.52,skill:score,20:3,
P8,cereal,P8_cereal_2_merged_2022-02-03_11-04-58-394.mp4,error frame,140.88,skill:score,16:2,
P8,cereal,P8_cereal_2_merged_2022-02-03_11-04-58-394.mp4,error frame,155.68,skill:score,"31:2, 13:2",
P8,cereal,P8_cereal_2_merged_2022-02-03_11-04-58-394.mp4,error frame,158.24,skill:score,10:2,
P15,sandwich,P15_sandwich_2_varjo__2022-02-15_14-17-41-821.mp4,error frame,19.44,skill:score,24:2,
P15,sandwich,P15_sandwich_2_varjo__2022-02-15_14-17-41-821.mp4,error frame,32.28,skill:score,"31:2, 21:2",
P15,sandwich,P15_sandwich_2_varjo__2022-02-15_14-17-41-821.mp4,error frame,39.56,skill:score,"6:2, 10:2",
P15,sandwich,P15_sandwich_2_varjo__2022-02-15_14-17-41-821.mp4,error frame,44.8,skill:score,20:2,
P15,sandwich,P15_sandwich_2_varjo__2022-02-15_14-17-41-821.mp4,error frame,47.08,skill:score,"13:2, 6:2",
P15,sandwich,P15_sandwich_2_varjo__2022-02-15_14-17-41-821.mp4,error frame,50.68,skill:score,3:2,
P15,sandwich,P15_sandwich_2_varjo__2022-02-15_14-17-41-821.mp4,error frame,52.68,skill:score,29:2,
P15,sandwich,P15_sandwich_2_varjo__2022-02-15_14-17-41-821.mp4,error frame,68,skill:score,17:2,
P15,sandwich,P15_sandwich_2_varjo__2022-02-15_14-17-41-821.mp4,error frame,77.64,skill:score,"7:2, 8:2",
P15,sandwich,P15_sandwich_2_varjo__2022-02-15_14-17-41-821.mp4,error frame,93.96,skill:score,"8:2, 24:2",
P15,sandwich,P15_sandwich_2_varjo__2022-02-15_14-17-41-821.mp4,error frame,101.64,skill:score,8:2,
P15,sandwich,P15_sandwich_2_varjo__2022-02-15_14-17-41-821.mp4,error frame,105.52,skill:score,33:2,
P15,sandwich,P15_sandwich_2_varjo__2022-02-15_14-17-41-821.mp4,error frame,108.88,skill:score,33:2,
P15,sandwich,P15_sandwich_2_varjo__2022-02-15_14-17-41-821.mp4,error frame,112.08,skill:score,"1:2, 29:2",
P15,sandwich,P15_sandwich_2_varjo__2022-02-15_14-17-41-821.mp4,error frame,118.4,skill:score,1:2,
P15,sandwich,P15_sandwich_2_varjo__2022-02-15_14-17-41-821.mp4,error frame,125.52,skill:score,24:2,
P15,sandwich,P15_sandwich_2_varjo__2022-02-15_14-17-41-821.mp4,error frame,127.6,skill:score,27:2,
P15,sandwich,P15_sandwich_2_varjo__2022-02-15_14-17-41-821.mp4,error frame,128.4,skill:score,"31:2, 6:2",
